1 ,11/11/2011 ,12/11/2011 ,1 ,Villa ,Hour
2 ,11/11/2011 ,10/11/2011 ,1 ,Villa ,Hour
3 ,05/11/2011 ,12/11/2011 ,1 ,Villa Ha Noi ,Hour
4 ,05/11/2011 ,12/11/2011 ,1 ,Villa New York ,Hour
5 ,05/11/2011 ,12/11/2011 ,1 ,Villa Germany ,Hour
6 ,05/11/2011 ,12/11/2011 ,1 ,Villa Da Nang ,Hour
7 ,05/11/2011 ,12/11/2011 ,1 ,Villa Da Nang ,Hour
8 ,05/11/2011 ,12/11/2011 ,1 ,Villa Da Nang ,Hour
9 ,05/11/2011 ,12/11/2011 ,1 ,Villa Da Lat ,Hour
10 ,05/11/2011 ,12/11/2011 ,1 ,Villa Phu Quoc ,Hour
11 ,05/11/2011 ,12/11/2011 ,1 ,Villa Da Nang ,Hour
12 ,05/11/2011 ,12/11/2011 ,1 ,Villa Da Nang ,Hour
13 ,05/11/2011 ,12/11/2011 ,1 ,Villa Da Lat ,Hour
14 ,05/11/2011 ,12/11/2011 ,1 ,Villa New York ,Hour